License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
1324918,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,FLIPPER'S NYC LLC,,337 W BROADWAY,,NEW YORK,NY,10013,,01/14/2020
1324919,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,HILLS PLACE LLC,,2112 FLATBUSH AVE,,BROOKLYN,NY,1234,,01/14/2020
2220411,TAVERN WINE,344,TW,2,Albany,ALBANY,544 FISHKILL HOSPITALITY LLC,HAMPTON INN,544 RTE 9,,FISHKILL,NY,12524,,01/14/2020
1324920,TAVERN WINE,344,TW,1,New York City,NEW YORK,JBSA LLC ,MAYHEM SNADWICHES ,75 9TH AVE ,RETAIL SPACE B ,NEW YORK ,NY,10011,,01/14/2020
1324921,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,GM BANI DELI GROCERY CORP ,,311 EVERGREEN AVE ,,BROOKLYN ,NY,11221,,01/15/2020
2220416,RESTAURANT WINE,341,RW,2,Albany,ORANGE,SABINO HERRERA,TAQUERIA JALAPENO,287 BROADWAY,,NEWBURGH,NY,12550,,01/15/2020
1324923,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,22ND ST DELI CORP,,2115 SURF AVE,,BROOKLYN,NY,11224,,01/15/2020
2220422,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,JAMIE SLONE WINES LLC,,417 COMMERCE CT,,LOMPOC ,CA,93436,923150,01/15/2020
3164673,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,BEREKETAB TEWOLDE-HASHO,B BROTHERS GROCERY,235 MASSACHUSETTS AVE,,BUFFALO              ,NY,14213,,01/15/2020
1324928,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,KN MARKET INC ,,9 KNOLLS CRESCENT ,,BRONX ,NY,10463,,01/15/2020
1324931,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,BANI FOOD CENTER CORP ,BANI MINI MART ,1121 1123 GREENE AVE ,,BROOKLYN ,NY,11221,,01/15/2020
1324934,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MARILYN REST INC,DON GIOVANNI RISTORANTE,358 W 44TH ST,,NEW YORK,NY,10036,,01/15/2020
1324935,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,14TH ST DELI CORP ,,1133 BRIGHTON BEACH AVE ,,BROOKLYN ,NY,11235,,01/15/2020
1324938,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,ESSEX CHICKEN LLC,CLUCKS,115 ESSEX ST,,NEW YORK,NY,10002,,01/15/2020
1324939,RESTAURANT WINE,341,RW,1,New York City,NASSAU,WF 5 INC,WILD FIG,1468 UNION TPKE,,NEW HYDE PARK,NY,11040,,01/15/2020
1324942,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,JOOK SING CORP ,,135 N 5TH ST ,#B ,BROOKLYN,NY,11249,,01/15/2020
1324946,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,AVI DELI GROCERY INC,,1954 AMSTERDAM AVE,,NEW YORK,NY,10032,,01/15/2020
1324951,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,ANYTHING ELSE INC ,,13 E 30TH ST,,NEW YORK,NY,10016,,01/15/2020
2220429,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,THOMAS T THOMAS VINEYARDS LLC,,7581 HIGHWAY 128,,PHILO ,CA,95466,923167,01/15/2020
1324955,RESTAURANT WINE,341,RW,1,New York City,QUEENS,369 FOOD SERVICE INC,,46-20 KISSENA BLVD,,FLUSHING,NY,11355,,01/15/2020
2220430,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,HERINGER ESTATES LLC,HERINGER ESTATES WINERY LLC,37375 NETHERLANDS RD,,CLARKSBURG,CA,95612,,01/15/2020
1324957,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,LATIN BRANDS RESTAURANT GROUP INC,SALSA BEMBE,811 MCLEAN AVE,,YONKERS              ,NY,10704,,01/16/2020
1324959,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,SANTOS RESTAURANT 2 CORP,,4718 NEW UTRECHT AVE,,BROOKLYN,NY,11219,,01/16/2020
2220431,GROCERY STORE BEER,122,A,2,Albany,CLINTON,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #12931,1840 N AUSABLE ST,,KEESEVILLE,NY,12944,916159,01/16/2020
1324960,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,1605 GROCERY & DELI MARKET CORP ,,1605 INWOOD AVE ,,BRONX ,NY,10452,,01/16/2020
2220432,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,MARTELLOTTO INC,MARTELLOTTO WINE/BHW,100 LOS PADRES WAY,STE #7,BUELLTON,CA,93427,923151,01/16/2020
2220434,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,LAURENTIA WINES LLC,LAURENTIA VINEYARD AND WINERY,6869 RIVER ROAD,,MADISON TOWNSHIP,OH,44057,,01/16/2020
3164681,ON-PREMISES LIQUOR,252,OP,3,Buffalo,NIAGARA,FILE N STYLE NAILBAR INC,LUSS NAIL BAR,6602 NIAGARA FALLS BLVD,,NIAGARA FALLS        ,NY,14304,,01/16/2020
2220435,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,LILAC HUDSON VALLEY LLC,MISS LUCY'S KITCHEN,90 PARTITION ST,,SAUGERTIES,NY,12477,,01/16/2020
3164683,GROCERY STORE BEER,122,A,3,Buffalo,ALLEGANY,GROCERY STORE SELLING BEER AND CIDER,DOLLAR GENERAL STORE #19760,11184 BIG TREE RD,,EAST AURORA,NY,14052,916137,01/16/2020
3164684,GROCERY STORE BEER,122,A,3,Buffalo,ALLEGANY,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #14922,24 N 1ST ST,,ALLEGANY ,NY,14706,916141,01/16/2020
3164685,GROCERY STORE BEER,122,A,3,Buffalo,ERIE,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21065,1971 COLVIN BLVD,,TONAWANDA,NY,14150,916142,01/16/2020
3164686,GROCERY STORE BEER,122,A,3,Buffalo,ALLEGANY,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15417,11349 RIDGE RD,,MEDINA,NY,14103,916143,01/16/2020
1324969,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,110 ON LLC,,138 142 W 32ND ST ,,NEW YORK,NY,10001,,01/16/2020
3164687,GROCERY STORE BEER,122,A,3,Buffalo,ALLEGANY,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #6065,575 BROAD ST,,WAVERLY ,NY,14892,916144,01/16/2020
1324970,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,ANYTHING ELSE 30 LLC,,128 MADISON AVE,,NEW YORK,NY,10016,,01/16/2020
1324971,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SAMWOOJUNG LLC,,20 W 33RD ST,,NEW YORK,NY,10001,,01/16/2020
1324972,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,HOUSTON HOSPITALITY GROUP LLC,BIAMO,178 W HOUSTON ST,,NEW YORK,NY,10014,,01/16/2020
1324974,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,PIEFFE LLC,P F PASTA AL FORNO,167 7TH AVE S,,NEW YORK,NY,10014,,01/16/2020
1324975,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,YARD HOUSE USA INC,YARD HOUSE ,575 7TH AVE,,NEW YORK,NY,10018,,01/16/2020
1324977,FARM BREWER,106,FD,1,New York City,KINGS,UNCLE CRAIG INC,LONG HAUL BREWERY,52 HARRISON PL,,BROOKLYN,NY,11237,,01/16/2020
1324978,MICRO BREWER,101,MI,1,New York City,KINGS,UNCLE CRAIG INC,LONG HAUL BREWERY,52 HARRISON PL,,BROOKLYN,NY,11237,,01/16/2020
1324980,COMBINED CRAFT MANUFACTURER,110,CM,1,New York City,KINGS,UNCLE CRAIG INC,LONG HAUL BREWERY,52 HARRISON PL,,BROOKLYN,NY,11237,,01/16/2020
1324981,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,UNCLE CRAIG INC,LONG HAUL BREWERY,52 HARRISON PL,,BROOKLYN,NY,11237,,01/16/2020
1324982,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,NEKA & DAVID REALTY LLC,BASILIC RESTAURANT,1712 1714 1ST AVE ,,NEW YORK,NY,10128,,01/16/2020
2220438,"GROCERY BEER, WINE PROD",122,AX,2,Albany,RENSSELAER,SJ FOOD MART INC,,3305 NYS RTE 43,,AVERILL PARK,NY,12018,,01/16/2020
2220441,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ONEIDA,NICHOLS DELI & GROCERY INC,,986 BLEECKER ST,,UTICA                ,NY,13501,,01/16/2020
1324984,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,INNER MARKET CORP,,437 TOMPKINS AVE,,BROOKLYN,NY,11216,,01/16/2020
1324986,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,SORY'S MINI MARKET CORP ,,3519 WHITE PLAINS RD ,,BRONX ,NY,10467,,01/16/2020
3164689,GROCERY STORE BEER,122,A,3,Buffalo,ALLEGANY,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #8643,204 W MILLER ST,,NEWARK,NY,14513,916145,01/16/2020
1324989,RESTAURANT WINE,341,RW,1,New York City,KINGS,GLOU NYC INC,GLOU,406 ROGERS AVE,,BROOKLYN,NY,11225,,01/16/2020
1324992,RESTAURANT WINE,341,RW,1,New York City,KINGS,DAO PALATE ASIAN INC ,,329 FLATBUSH AVE ,,BROOKLYN ,NY,11217,,01/16/2020
3164690,GROCERY STORE BEER,122,A,3,Buffalo,CHEMUNG,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #8106,1146 BROADWAY ST,,ELMIRA ,NY,14904,916146,01/16/2020
1324993,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,152 W 26 STREET REST LLC,,152 W 26TH ST ,ROOFTOP,NEW YORK,NY,10001,,01/17/2020
1324994,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,24 SEVEN STORE INC,,118-10 LIBERTY AVE ,,S RICHMOND HILL ,NY,11419,,01/17/2020
1324995,FARM BREWER,106,FD,1,New York City,KINGS,TALEA BEER INC,,87 RICHARDSON ST,,BROOKLYN,NY,11211,,01/17/2020
1324996,MICRO BREWER,101,MI,1,New York City,KINGS,TALEA BEER INC,,87 RICHARDSON ST,,BROOKLYN,NY,11211,,01/17/2020
1324997,COMBINED CRAFT MANUFACTURER,110,CM,1,New York City,KINGS,TALEA BEER INC,,87 RICHARDSON ST,,BROOKLYN,NY,11211,,01/17/2020
1324998,"DISTILLER ""A-1""",206,DA,1,New York City,WESTCHESTER,CLEARBROOK DISTILLING LLC ,CURRENT SPIRITS ,375 CLEARBROOK RD ,,ELMSFORD ,NY,10523,,01/17/2020
1324999,GROCERY STORE BEER,122,A,1,New York City,KINGS,5 STAR DELI GOURMET INC ,,5301 FORT HAMILTON PKWY ,,BROOKLYN ,NY,11219,,01/17/2020
2220447,FARM BREWER,106,FD,2,Albany,MADISON,ROCALE LLC,,33 RIPPLETON RD,,CAZENOVIA,NY,13035,,01/17/2020
2220448,MICRO BREWER,101,MI,2,Albany,MADISON,ROCALE LLC,,33 RIPPLETON RD,,CAZENOVIA,NY,13035,,01/17/2020
2220449,COMBINED CRAFT MANUFACTURER,110,CM,2,Albany,MADISON,ROCALE LLC,,33 RIPPLETON RD,,CAZENOVIA,NY,13035,,01/17/2020
2220450,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ONEIDA,CHADWICKS SUPER MART INC,,3480 ONEIDA ST,STE 10,CHADWICKS,NY,13319,,01/17/2020
2220451,BREWER,101,D,2,Albany,MADISON,ROCALE LLC,,33 RIPPLETON RD,,CAZENOVIA,NY,13035,,01/17/2020
2220452,RESTAURANT WINE,341,RW,2,Albany,ONONDAGA,3709 WEST GENESEE STREET INC,STELLA'S DINER,3709 W GENESEE ST,T/O CAMILLUS,SYRACUSE             ,NY,13219,,01/17/2020
2220454,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,LOS AMIGOS MEXICAN RESTAURANT OF NEWBURGH CORP,LOS AMIGOS MEXICAN RESTAURANT,640 BROADWAY ,STE 1,NEWBURGH,NY,12550,,01/17/2020
2220456,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,MDC WINES LLC,DI COSTANZO,190 CAMINO ORUGA,UNIT 24,NAPA,CA,94558,923153,01/17/2020
2220457,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,HOLTERMANN FAMILY WINES LLC,,1200 AMERICAN WAY,,WINDSOR,CA,95492,923157,01/17/2020
2220459,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,TOLLIVER RANCH BRANDS LLC,RABBLE WINE COMPANY,3090 3092 ANDERSON RD,,PASO ROBLES,CA,93446,923152,01/17/2020
1325002,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,SMOKE BUDDY INC ,EVERGREEN ,199E MERRITTS RD ,,FARMINGDALE ,NY,11735,,01/17/2020
3164691,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,BAILEY KERMIT FOOD MARKET INC,,2534 BAILEY AVE,,BUFFALO              ,NY,14215,,01/17/2020
3164693,RESTAURANT WINE,341,RW,3,Buffalo,MONROE,1370 DIMCO LLC,,1370 BUFFALO RD,T/O GATES,ROCHESTER,NY,14624,,01/17/2020
2220460,MICRO BREWER,101,MI,2,Albany,SCHOHARIE,WAYWARD LANE BREWING,,251 WARD LN,,SCHOHARIE,NY,12157,,01/17/2020
1325005,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,152 W 26 STREET REST LLC,,152 W 26TH ST ,GROUND FLOOR & CELLAR,NEW YORK,NY,10001,,01/17/2020
1325007,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,BOGOPA BTM LLC ,FOOD BAZAAR ,610 EXTERIOR ST ,,BRONX ,NY,10451,,01/17/2020
1325008,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,BURGERS AND MARGARITAS CAFE CORP,,36-21 REVIEW AVE ,,LONG ISLAND CITY,NY,11101,,01/17/2020
2220463,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ORANGE,AAROHI CORPORATION,WALLKILL CONVENIENCE STORE,689 RTE 32 NORTH,,WALLKILL,NY,12589,,01/17/2020
2220466,"GROCERY BEER, WINE PROD",122,AX,2,Albany,DUTCHESS,H E DELI & CONVENIENCE INC,PK BRICKS DELI,81 FALLKILL AVE,,POUGHKEEPSIE,NY,12601,,01/17/2020
1325012,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,OFF THE HOOK OF YONKERS INC,OFF THE HOOK OF YONKERS,47 N BROADWAY,"UNIT 1,2",YONKERS              ,NY,10701,,01/17/2020
2220469,"GROCERY BEER, WINE PROD",122,AX,2,Albany,SULLIVAN,PRAJAS USA INC,,37 RACEWAY RD,,MONTICELLO,NY,12701,,01/17/2020
2220472,ON-PREMISES LIQUOR,252,OP,2,Albany,ONEIDA,JULIO'S INC,EL JAROCHO MEXICAN RESTAURANT AND BAR,1303 FLOYD AVE,,ROME,NY,13340,,01/17/2020
1325014,GROCERY STORE BEER,122,A,1,New York City,NASSAU,EL FUERTE DELI & GROCERY CORP,,1142 FRONT ST,,UNIONDALE,NY,11553,,01/17/2020
2220473,ON-PREMISES LIQUOR,252,OP,2,Albany,BROOME,AB BREWING LLC,WATER STREET BREWING CO,168 WATER ST,,BINGHAMTON,NY,13901,,01/17/2020
2220474,MICRO BREWER,101,MI,2,Albany,BROOME,AB BREWING LLC,WATER STREET BREWING CO,168 WATER ST,,BINGHAMTON,NY,13901,,01/17/2020
3164700,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,STELLA A KITCHEN AND A BAR LLC,,60 CHAUTAUQUA AVE,,LAKEWOOD,NY,14750,,01/17/2020
3164703,TAVERN WINE,344,TW,3,Buffalo,ERIE,TPC ELMWOOD CAFE LLC,TIPICO COFFEE,1084 ELMWOOD AVE,,BUFFALO,NY,14222,,01/17/2020
1325026,MICRO BREWER,101,MI,1,New York City,SUFFOLK,COW HARBOR BEER COMPANY LLC THE ,SAND CITY BREWING COMPANY ,150 S WELLWOOD AVE ,,LINDENHURST ,NY,11757,,01/21/2020
1325027,FARM BREWER,106,FD,1,New York City,SUFFOLK,COW HARBOR BEER COMPANY LLC THE ,SAND CITY BREWING COMPANY ,150 S WELLWOOD AVE ,,LINDENHURST ,NY,11757,,01/21/2020
1325028,COMBINED CRAFT MANUFACTURER,110,CM,1,New York City,SUFFOLK,COW HARBOR BEER COMPANY LLC ,SAND CITY BREWING COMPANY ,150 S WELLWOOD AVE ,,LINDENHURST ,NY,11757,,01/21/2020
1325029,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,GRANDROMEDA LLC,OTAKU KATSU,137 RIVINGTON ST,,NEW YORK,NY,10002,,01/21/2020
1325030,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,HARDSCRABBLE HOSPITALITY GROUP LLC,,28-07 JACKSON AVE ,,LONG ISLAND CITY,NY,11101,,01/21/2020
1325031,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,570 VAN LLC,,570 VANDERBILT AVE,,BROOKLYN,NY,11238,,01/21/2020
1325032,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,ALITOS CORP,CALIFORNIA CACTUS,3320 VETERANS MEMORIAL HWY,3320B VETERANS MEMORIAL HWY,BOHEMIA,NY,11716,,01/21/2020
1325034,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,#1 BEDFORD DELI CORP,,26 BEDFORD PARK BLVD,,BRONX,NY,10468,,01/21/2020
1325035,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,MENVICOR INC,IL PICCOLO VILLAGIO RISTORANTE ITALIANO,260 ISLIP AVE,,ISLIP,NY,11751,,01/21/2020
1325037,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,RESTAURANT ASSOCIATES LLC,,315 HUDSON ST ,6TH FL,NEW YORK,NY,10013,,01/21/2020
1325038,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,SCOFA LLC,BRASSERIE CASSIS,387 S OYSTER BAY RD,#36,PLAINVIEW,NY,11803,,01/21/2020
1325041,RESTAURANT WINE,341,RW,1,New York City,KINGS,KBG CATERING CORP,CAFE MAX,1003 BRIGHTON BEACH AVE,,BROOKLYN,NY,11235,,01/21/2020
1325049,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,J&G MARKET CORPORATION,WEIR'S COMMUNITY MARKET,495 GRANNY RD,,MEDFORD,NY,11763,,01/21/2020
1325054,RESTAURANT WINE,341,RW,1,New York City,QUEENS,JIN DAL LAE 8 INC,,35-30 UNION ST,,FLUSHING,NY,11354,,01/21/2020
1325056,HOTEL LIQUOR,242,HL,1,New York City,WESTCHESTER,L & S DINING CORP,PETER PRATT'S INN INC,673 CROTON HEIGHTS RD,,YORKTOWN HEIGHTS,NY,10598,,01/21/2020
1325060,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,J AND C 2187 RESTAURANT INC,,2187 CLARENDON RD,,BROOKLYN,NY,11226,,01/21/2020
3164712,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,VENETO WESTSIDE LLC,,1308 BUFFALO RD,STE 130,GATES,NY,14624,,01/21/2020
2220499,ON-PREMISES LIQUOR,252,OP,2,Albany,SARATOGA,COMMON ROOTS BREWING COMPANY INC,,58 SARATOGA AVE,,SOUTH GLENS FALLS,NY,12803,,01/21/2020
1325061,TAVERN WINE,344,TW,1,New York City,WESTCHESTER,TENTEMPIE MADRID LLC,,260 MAMARONECK AVE,,MAMARONECK,NY,10543,,01/21/2020
1325063,RESTAURANT WINE,341,RW,1,New York City,WESTCHESTER,VAGGELIS RESTAURANT INC,,501 MARBLE AVE,,PLEASANTVILLE,NY,10570,,01/21/2020
3164718,CLUB LIQUOR,243,CL,3,Buffalo,ONTARIO,NEW CLUB INC,COBBLESTONE CREEK COUNTRY CLUB,100 COBBLE CREEK RD,,VICTOR ,NY,14564,,01/21/2020
2220500,ON-PREMISES LIQUOR,252,OP,2,Albany,ONEIDA,MINTAR CORP,THE SKENANDOA CLUB,7105 NORTON AVE,,CLINTON,NY,13323,,01/21/2020
1325065,RESTAURANT WINE,341,RW,1,New York City,QUEENS,LA FONDA RESTAURANT CORP,LA FONDITA MEXICAN RESTAURANT,49-11 69TH ST,,WOODSIDE,NY,11377,,01/21/2020
1325066,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,DT WOODBURY LLC ,DIRTY TACO + TEQUILA ,8285 JERICHO TPKE,UNIT 6B ,WOODBURY ,NY,11797,,01/22/2020
1325068,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,230 VARICK TACO BELL LLC,TACO BELL CANTINA,230 VARICK ST,,NEW YORK,NY,10014,,01/22/2020
1325069,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,GREY DOG TRIBECA INC THE,THE GREY DOG,124 CHAMBERS ST,,NEW YORK,NY,10007,,01/22/2020
3164721,CLUB LIQUOR,243,CL,3,Buffalo,ONTARIO,NEW CLUB INC,COBBLE STONE HOUSE,422 VICTOR EGYPT RD,,VICTOR,NY,14564,,01/22/2020
2220503,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ONONDAGA,CANAM ALLIANCE CORP,,680 SOUTH SALINA ST,,SYRACUSE,NY,13202,,01/22/2020
2220506,ON-PREMISES LIQUOR,252,OP,2,Albany,CORTLAND,FULLER'S TAVERN OF CORTLAND INC,THE STONE LOUNGE,128 MAIN ST,,CORTLAND,NY,13045,,01/22/2020
1325082,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,FRANKLIN MJK CORP,E & E DELI & GROCERY,98-16 CORONA AVE,,CORONA,NY,11368,,01/22/2020
1325085,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,SOLER BROTHERS DELI GROCERY CORP,,2015 1ST AVE,,NEW YORK,NY,10029,,01/22/2020
1325089,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,JM GROCERY & DELI CORP,,774 ROCKAWAY AVE,STORE #4,BROOKLYN,NY,11212,,01/22/2020
1325092,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,TACO MIX DELANCEY LLC,,158 DELANCEY ST,,NEW YORK,NY,10002,,01/22/2020
1325093,TEMPORARY WINERY/FARM WINERY,306,FP,1,New York City,SUFFOLK,LAUREL LAKE VINEYARD LTD,,3165 MAIN RD RT 25,,LAUREL,NY,11948,564933,01/22/2020
1325094,WHOLESALE BEER(CO),105,CO,1,New York City,NEW YORK,BANVILLE & JONES WINE MERCHANTS INC,BANVILLE WINE MERCHANTS,126 E 38TH ST,,NEW YORK,NY,10016,,01/22/2020
1325095,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,EL RANCHERO DELI GROCERY CORP,,350 S BROADWAY,,YONKERS              ,NY,10705,,01/22/2020
1325097,ON-PREMISES LIQUOR,252,OP,1,New York City,RICHMOND,DELUCA'S ITALIAN RESTAURANT INC,,7324 AMBOY RD,,STATEN ISLAND,NY,10307,,01/22/2020
1325099,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MF PEASANT LLC,PEASANT,194 ELIZABETH ST,,NEW YORK,NY,10012,,01/22/2020
1325102,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,PRAMUKH 235 INC,VILLAGE VAPE & CIGAR,171 W 4TH ST,,NEW YORK,NY,10014,,01/22/2020
1325103,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,BILLYPETE GROUP INC,BILLY AND PETE'S,121 MYRTLE BLVD,,LARCHMONT,NY,10538,,01/23/2020
3164725,LIQUOR STORE,222,L,3,Buffalo,MONROE,FLOWER CITY LIQUOR AND WINES LLC,FLOWER CITY LIQUOR AND WINES,175 LYELL AVE,,ROCHESTER            ,NY,14608,,01/23/2020
1325105,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,PASAQUINA CORP,DELI LA FONTANA,423 CLINTON ST,,HEMPSTEAD,NY,11550,,01/23/2020
1325107,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,SAHARA CAFE YONKERS CORP ,,473 S BROADWAY ,,YONKERS              ,NY,10703,,01/23/2020
1325109,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,C & C INTERNATIONAL DELI GROCERY CORP,,98 20 41ST AVE,,CORONA,NY,11368,,01/23/2020
1325112,LIQUOR STORE,222,L,1,New York City,SUFFOLK,MOHAMMAD ASGHAR WARAICH ,NEIGHBORHOOD LIQUORS ,65 MASTIC BEACH RD ,,MASTIC BEACH ,NY,11951,,01/23/2020
1325113,LIQUOR STORE,222,L,1,New York City,KINGS,D & S WINES & LIQUORS INC,D & S WINES & LIQUORS,599 WILSON AVE,,BROOKLYN,NY,11207,,01/23/2020
3164726,ON-PREMISES LIQUOR,252,OP,3,Buffalo,WYOMING,ATTICA'S 10TH HOLE LLC ,ATTICA GOLF CLUB ,95 BUNNELL ST ,,ATTICA ,NY,14011,,01/23/2020
2220512,RESTAURANT WINE,341,RW,2,Albany,SCHENECTADY,OISHI ASIAN CUISINE INC,,406 SACANDAGA RD,,SCOTIA,NY,12302,,01/23/2020
2220513,MICRO WINERY,307,MW,2,Albany,COLUMBIA,EF WILLIAMS LLC,FOX HILL ESTATES AND VINEYARD,509 BASHFORD RD,,VALATIE,NY,12184,,01/23/2020
1325116,LIQUOR STORE,222,L,1,New York City,BRONX,LEHIGH WINES & LIQUORS INC,,2929 WESTCHESTER AVE,,BRONX,NY,10461,,01/23/2020
3164729,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,JUICY SEAFOOD MCKINLEY LLC ,KING CRAB ,3540 MCKINLEY PKWY ,UNIT 12 ,HAMBURG ,NY,14219,,01/23/2020
2220514,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ONEIDA,WEST DOMINICK MARKET LLC,,418 W DOMINICK ST,,ROME,NY,13440,,01/23/2020
2220516,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,WINE APOTHECARY LLC,BLENDTIQUE WINE COMPANY,2717 AVIATION WAY,,SANTA MARIA,NY,93455,,01/23/2020
3164733,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,PASSAROS DELI & GROCERY LLC,,1438 CLIFFORD AVE ,,ROCHESTER ,NY,14621,,01/23/2020
2220517,ON-PREMISES LIQUOR,252,OP,2,Albany,SARATOGA,LEGEND SUSHI INC,,15 PROSPECT ST,,BALLSTON SPA,NY,12020,,01/23/2020
1325121,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,MEME RESTAURANT CORP,MIGUELENO RESTAURANT,146 WHEELER RD,,CENTRAL ISLIP,NY,11722,,01/23/2020
2220521,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ORANGE,SAI S KRUPA LLC,PERINO'S MARKET GROCER,2416 RTE 6,,SLATE HILL ,NY,10973,,01/23/2020
1325126,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,ROSA'S GROCERY & DELI CORP,,70-11 45TH AVE,1ST FL,WOODSIDE,NY,11377,,01/23/2020
