License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
2219489,RESTAURANT WINE,341,RW,2,Albany,ROCKLAND,SHAKE SHACK NEW YORK LLC,SHAKE SHACK,4A W RTE 59,,NANUET,NY,10954,,01/09/2020
2219490,"GROCERY CHAIN, BEER ONLY",128,A,2,Albany,CHENANGO,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19913,109 STATE HWY 12,,CHENANGO FORKS,NY,13746,916307,11/06/2019
2219491,"GROCERY CHAIN, BEER ONLY",128,A,2,Albany,BROOME,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #6294,225 HARRISON AVE,,ENDICOTT,NY,13760,916306,11/06/2019
1323035,GROCERY STORE BEER,122,A,1,New York City,QUEENS,LAS DELICIAS CORP ,,92-09 37TH AVE ,,JACKSON HEIGHTS ,NY,11372,,11/06/2019
1323039,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,LA TORRE DELI MARKET CORP ,LA TORRE DELI MARKET CORP ,1447 WEBSTER AVE ,,BRONX ,NY,10456,,11/06/2019
3164142,ON-PREMISES LIQUOR,252,OP,3,Buffalo,NIAGARA,BOLANDS BEEF & BREW INC,,2605 YOUNGSTOWN LOCKPORT RD,,RANSOMVILLE,NY,14131,,11/06/2019
3164147,CUSTOM WINEMAKERS CENTER,311,CZ,3,Buffalo,MONROE,WINES BY DESIGN INC,VINECRAFT,3392 BUFFALO RD,,ROCHESTER            ,NY,14624,,11/06/2019
1323047,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,J C LEX INC ,,971 LEXINGTON AVE ,,NEW YORK ,NY,10021,,11/06/2019
3164148,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,PALIZAY ENTERPRISES INC,YOGI'S BRICK OVEN BISTRO,15 MAIN ST,,AKRON,NY,14001,,11/06/2019
1323050,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,LIC GRILL LLC ,BZ GRILL ,544 MANHATTAN AVE ,,BROOKLYN ,NY,11222,,11/06/2019
3164150,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CATTARAUGUS,8889 BURTON HOTEL INC,BURTON HOTEL,1 E MAIN ST,,ALLEGANY,NY,14706,,11/06/2019
1323053,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,DELI BROTHERS GROCERY INC,,905 BROADWAY ,,BROOKLYN ,NY,11206,,11/06/2019
3164156,TAVERN WINE,344,TW,3,Buffalo,WAYNE,KEE KEE RUN CAFE LLC,,85 GLASGOW ST,,CLYDE,NY,14433,,11/06/2019
1323059,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,AYESHA DELI GROCERY CORP ,,333 PULASKI ST ,,BROOKLYN ,NY,11206,,11/06/2019
3164158,RESTAURANT WINE,341,RW,3,Buffalo,WAYNE,WEST SIDE FUEL INC ,WEST SIDE FUEL,10329 RTE 31 W ,,CLYDE ,NY,14433,,11/06/2019
3164161,RESTAURANT WINE,341,RW,3,Buffalo,CATTARAUGUS,"ASHFORD STATION BISTRO, LLC",,5386 DEPOT ST,,WEST VALLEY,NY,14171,,11/06/2019
1323068,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,PSP MINIMART INC,HOUSTON VILLAGE FARM,61 1ST AVE,,NEW YORK,NY,10003,,11/06/2019
2219493,GROCERY STORE BEER,122,A,2,Albany,SCHENECTADY,IN AND OUT GROCERY INC,IN AND OUT GROCERY,1102 CONGRESS ST,,SCHENECTADY          ,NY,12303,,11/06/2019
2219495,ON-PREMISES LIQUOR,252,OP,2,Albany,CLINTON,AMY C SORRELL AND JOHN SORRELL,RIVERSIDE LANES AT THE FORKS TAVERN,2 MCCREA ST,,BLACK BROOK,NY,12912,,11/06/2019
2219497,HOTEL LIQUOR,242,HL,2,Albany,ST LAWRENCE,OLYMPIA HOTEL MANAGEMENT LLC,BEST WESTERN UNIVERSITY INN,90 E MAIN ST,,CANTON,NY,13617,,11/06/2019
2219502,ON-PREMISES LIQUOR,252,OP,2,Albany,SARATOGA,AZUMA SUSHI BISTRO LLC,,2452 RTE 9,STE 109,MALTA,NY,12020,,11/06/2019
2219506,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,RUBIA LLC,RUBIA ,190 CAMINO ORUGA,WWW.RUBIAWINECELLARS.COM,NAPA,CA,94558,917908,11/06/2019
2219509,GROCERY STORE BEER,122,A,2,Albany,ORANGE,MAKI MARKET INC,,188 BROADWAY,,NEWBURGH,NY,12550,,11/06/2019
2219511,TAVERN WINE,344,TW,2,Albany,ST LAWRENCE,OLYMPIA HOTEL MANAGEMENT LLC,ST LAWRENCE PUB 56,23 ROMODA DR,,CANTON,NY,13617,,11/06/2019
1323071,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,"TEN BELLS BUSWICK INC, THE",THE TEN BELLS,65 IRVING AVE,,BROOKLYN,NY,11237,,11/06/2019
1323072,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,LARESCO HOLDINGS LLC,PULIA,548 4TH AVE ,,BROOKLYN,NY,11215,,11/06/2019
1323073,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,120 WASHINGTON STREET LLC,,120 WASHINGTON ST,,PEEKSKILL,NY,10566,,11/06/2019
1323078,LIQUOR STORE,222,L,1,New York City,SUFFOLK,CESAR'S WINE & LIQUOR INC,,1310 MIDDLE COUNTRY RD,STORE #6,SELDEN,NY,11784,,11/07/2019
1323079,GROCERY STORE BEER,122,A,1,New York City,QUEENS,VARIEDADES GG CORP,,92-11 37TH AVE,,JACKSON HEIGHTS,NY,11372,,11/07/2019
